initial,final
-4214.8696,-4523.3433
-4479.6763,-4754.8345
-4415.4336,-4775.732
-4460.7603,-4817.2314
-4460.4756,-4814.9336
-4439.251,-4812.3467
-4439.0127,-4802.214
-4486.269,-4804.57
-4471.069,-4812.2773
-4432.9736,-4814.7256
-4461.659,-4797.3096
-4480.901,-4809.551
-4491.029,-4808.5796
-4464.597,-4808.3013
-4433.466,-4814.53
-4454.7583,-4819.9414
-4457.7896,-4818.7114
-4470.7266,-4825.3696
-4422.6655,-4822.1143
-4455.8516,-4822.484
-4385.016,-4814.222
-4418.995,-4814.079
-4474.5537,-4803.123
-4519.6216,-4823.0493
-4519.6216,-4823.0493
-4506.359,-4816.188
-4456.27,-4826.2725
-4464.6396,-4818.502
-4461.1724,-4817.446
-4463.28,-4816.8315
-4463.28,-4816.8315
-4477.475,-4816.147
-4549.5015,-4827.0005
-4488.277,-4825.8706
-4454.328,-4817.1006
-4512.928,-4814.1074
-4486.348,-4823.1333
-4492.6543,-4823.4653
-4477.4204,-4813.1973
-4435.0034,-4827.0527
-4435.0034,-4827.0527
-4438.8735,-4824.9062
-4463.0825,-4808.404
-4431.487,-4816.3545
-4449.187,-4810.727
-4469.217,-4829.897
-4466.262,-4798.2266
-4526.246,-4820.4155
-4490.717,-4811.0073
-4479.2744,-4809.0815
-4517.737,-4821.778
-4484.316,-4809.6694
-4478.5283,-4790.3213
-4454.349,-4828.8438
-4500.608,-4824.062
-4393.4736,-4817.302
-4470.589,-4807.1724
-4474.0,-4792.5103
-4489.799,-4801.5317
-4510.5225,-4829.575
-4468.766,-4826.6646
-4437.057,-4819.466
-4466.0,-4828.2563
-4454.9883,-4818.6167
-4464.997,-4807.991
-4478.62,-4798.8755
-4492.632,-4815.4375
-4440.7803,-4818.481
-4504.056,-4806.0225
-4508.663,-4817.899
-4465.151,-4815.5503
-4467.8384,-4824.105
-4496.634,-4827.8677
-4510.693,-4828.0957
-4475.56,-4817.221
-4457.3433,-4814.921
-4457.3433,-4814.921
-4474.0796,-4810.917
-4506.1475,-4820.1157
-4461.627,-4804.7764
-4483.3706,-4815.2217
-4464.4805,-4810.365
-4513.7163,-4822.0317
-4447.6367,-4817.9375
-4478.252,-4809.3906
-4437.8516,-4818.1235
-4460.082,-4808.3584
-4441.615,-4815.6675
-4484.4155,-4815.841
-4454.8706,-4785.619
-4421.8364,-4789.4546
-4478.418,-4802.2207
-4406.098,-4794.743
-4473.057,-4818.6245
-4460.6934,-4819.094
-4469.179,-4821.0205
-4507.8438,-4797.088
-4484.046,-4783.789
-4480.733,-4810.139
-4481.004,-4816.6235
-4454.8877,-4818.3696
-4468.361,-4817.0815
-4521.4395,-4815.204
-4486.3696,-4808.4575
-4468.5474,-4824.4546
-4439.7554,-4815.386
-4440.5547,-4808.436
-4462.1367,-4826.6978
-4472.7646,-4815.239
-4479.6094,-4808.6924
-4431.644,-4811.702
-4455.4805,-4805.6943
-4473.5957,-4792.702
-4460.732,-4812.267
-4453.033,-4803.788
-4470.1597,-4826.325
-4466.2544,-4812.0273
-4442.8574,-4829.8926
-4437.3306,-4824.0005
-4378.071,-4811.9204
-4521.545,-4817.92
-4477.3833,-4810.083
-4473.3936,-4823.0356
-4434.314,-4807.714
-4473.1826,-4824.734
-4449.6963,-4814.4487
-4482.504,-4815.5674
-4437.3174,-4804.2725
-4484.0854,-4803.634
-4500.61,-4826.6665
-4473.8716,-4821.5234
-4441.329,-4814.6094
-4443.72,-4813.2617
-4468.739,-4820.204
-4486.8135,-4822.295
-4470.6636,-4821.0684
-4489.087,-4811.681
-4487.4663,-4816.8525
-4449.5303,-4818.401
-4423.458,-4800.7
-4414.587,-4801.174
-4495.425,-4809.4
-4495.729,-4820.1274
-4467.932,-4824.279
-4437.937,-4797.026
-4429.6904,-4805.4404
-4512.8545,-4820.7456
-4480.1504,-4820.5474
-4450.0386,-4821.792
-4460.9907,-4818.224
-4429.795,-4814.8555
-4500.5015,-4823.2104
-4453.8877,-4808.6206
-4485.4106,-4792.737
-4429.1616,-4810.773
-4471.6665,-4807.244
-4515.854,-4827.8257
-4400.5713,-4807.8604
-4447.663,-4815.48
-4511.1875,-4823.1
-4428.853,-4800.843
-4440.1577,-4823.4854
-4452.2046,-4785.988
